ID,GCM,SSP,Demanda_Agro,Demanda_Poblacion,drought_severity,drought_duration,drought_start_year,drought_severity_mode,block,policy_file,pareto_idx,role,contexto,clima_run,description
2125,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2125_balanceada_8_sequia_extrema.csv,230,balanceada_8,sequia_extrema,693,DPS iter2 balanceada_8 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2126,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2126_balanceada_9_megasequia.csv,114,balanceada_9,megasequia,882,DPS iter2 balanceada_9 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2127,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2127_balanceada_9_sequia_extrema.csv,114,balanceada_9,sequia_extrema,693,DPS iter2 balanceada_9 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2128,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2128_balanceada_10_megasequia.csv,247,balanceada_10,megasequia,882,DPS iter2 balanceada_10 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2129,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2129_balanceada_10_sequia_extrema.csv,247,balanceada_10,sequia_extrema,693,DPS iter2 balanceada_10 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2130,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2130_balanceada_11_megasequia.csv,280,balanceada_11,megasequia,882,DPS iter2 balanceada_11 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2131,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2131_balanceada_11_sequia_extrema.csv,280,balanceada_11,sequia_extrema,693,DPS iter2 balanceada_11 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2132,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2132_balanceada_12_megasequia.csv,141,balanceada_12,megasequia,882,DPS iter2 balanceada_12 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2133,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2133_balanceada_12_sequia_extrema.csv,141,balanceada_12,sequia_extrema,693,DPS iter2 balanceada_12 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2134,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2134_balanceada_13_megasequia.csv,49,balanceada_13,megasequia,882,DPS iter2 balanceada_13 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2135,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2135_balanceada_13_sequia_extrema.csv,49,balanceada_13,sequia_extrema,693,DPS iter2 balanceada_13 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2136,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2136_balanceada_14_megasequia.csv,234,balanceada_14,megasequia,882,DPS iter2 balanceada_14 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2137,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2137_balanceada_14_sequia_extrema.csv,234,balanceada_14,sequia_extrema,693,DPS iter2 balanceada_14 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2138,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2138_balanceada_15_megasequia.csv,200,balanceada_15,megasequia,882,DPS iter2 balanceada_15 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2139,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2139_balanceada_15_sequia_extrema.csv,200,balanceada_15,sequia_extrema,693,DPS iter2 balanceada_15 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2140,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2140_balanceada_16_megasequia.csv,556,balanceada_16,megasequia,882,DPS iter2 balanceada_16 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2141,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2141_balanceada_16_sequia_extrema.csv,556,balanceada_16,sequia_extrema,693,DPS iter2 balanceada_16 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2142,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2142_balanceada_17_megasequia.csv,205,balanceada_17,megasequia,882,DPS iter2 balanceada_17 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2143,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2143_balanceada_17_sequia_extrema.csv,205,balanceada_17,sequia_extrema,693,DPS iter2 balanceada_17 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2144,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2144_balanceada_18_megasequia.csv,265,balanceada_18,megasequia,882,DPS iter2 balanceada_18 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2145,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2145_balanceada_18_sequia_extrema.csv,265,balanceada_18,sequia_extrema,693,DPS iter2 balanceada_18 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2146,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2146_balanceada_19_megasequia.csv,478,balanceada_19,megasequia,882,DPS iter2 balanceada_19 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2147,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2147_balanceada_19_sequia_extrema.csv,478,balanceada_19,sequia_extrema,693,DPS iter2 balanceada_19 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2148,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2148_balanceada_20_megasequia.csv,557,balanceada_20,megasequia,882,DPS iter2 balanceada_20 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2149,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2149_balanceada_20_sequia_extrema.csv,557,balanceada_20,sequia_extrema,693,DPS iter2 balanceada_20 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
