run,n_acciones,kge_mediano,weap_J1_gw_storage,weap_J2_unmet_ap,weap_J3_agri_value,weap_J4_supply_cost,weap_J51_mean_town_fail,weap_J52_worst_year_frac,weap_J6_coastal_salinity,mlp_J1_gw_storage,mlp_J2_unmet_ap,mlp_J3_agri_value,mlp_J4_supply_cost,mlp_J51_mean_town_fail,mlp_J52_worst_year_frac,mlp_J6_coastal_salinity
2213,4,0.8105819131992287,33777344.0,6038.38134765625,49319390717.56766,49858171046.83081,,,0.8639037367810365,32847614.614069592,558205.5380158277,46546950422.31667,44251401479.73921,,,0.8658302257119199
2214,4,0.7923596604796448,35114860.0,560899.375,48414429612.230865,55607657792.25885,,,0.8638741503228674,34839208.71135381,2101542.0954071856,47822616843.73392,49329355974.92522,,,0.8662492495870846
2215,4,0.8263112586383679,34177244.0,2086409.375,52531070286.431625,53542549602.68356,,,0.8638923011644921,33127620.667691987,3280898.481342968,50246318635.275475,48151140644.247604,,,0.8662450056660789
2216,2,0.8030679863299737,35013300.0,6245689.0,54236332920.60811,69178837335.32712,,,0.8638980547957579,34855809.35574821,7975567.189310738,54053386479.180275,67445532590.62007,,,0.8653368963458838
2217,2,0.8206802446060197,33710436.0,12281893.0,59459294385.38447,65863618051.79799,,,0.8638281613796741,32970202.319643155,14234470.310769882,57752823068.25908,62138780314.46474,,,0.8649008047105735
2218,3,0.8170800262433232,35124736.0,691434.0625,52092233517.55237,47395328581.593605,,,0.8638777073817189,34808503.04797922,1564687.3117921355,51912375222.55378,40770401042.91155,,,0.8662442150276618
2219,3,0.8316323540425589,33813664.0,1199190.25,55088598770.56754,46121951647.818184,,,0.8638682381626979,33083450.968852066,2086881.8937635962,53329458782.63933,38381188412.77841,,,0.8662420482565978
2220,3,0.8334881290326017,35464896.0,3816758.75,52325365898.22503,69328717707.87122,,,0.8636744734197971,34922513.18110884,4501258.668677212,52003660867.43411,68289813964.48229,,,0.8646184979428339
2221,3,0.8715041838089643,34183196.0,7940257.5,57893814898.487175,71309334854.168,,,0.8636177157651759,33102260.169240512,8254082.154070522,55715601917.21318,71451039076.8731,,,0.8642399344507575
2222,3,0.7793464427275176,35061396.0,162686.890625,44180305401.260925,44487141890.61517,,,0.8638741987198013,34494429.56444224,1090054.329707699,42703811694.81326,39561493913.19656,,,0.8657958041295811
