run,n_acciones,kge_mediano,weap_J1_gw_storage,weap_J2_unmet_ap,weap_J3_agri_value,weap_J4_supply_cost,weap_J51_mean_town_fail,weap_J52_worst_year_frac,weap_J6_coastal_salinity,mlp_J1_gw_storage,mlp_J2_unmet_ap,mlp_J3_agri_value,mlp_J4_supply_cost,mlp_J51_mean_town_fail,mlp_J52_worst_year_frac,mlp_J6_coastal_salinity
2225,3,0.7981516599348922,33839748.0,1.2365319728851318,57075635149.86096,51151894840.28167,,,0.8639045382249977,32670239.29065733,1480931.965978017,57628466804.613716,43471658180.69541,,,0.8696547969692573
2226,2,0.852952164718429,35361124.0,9864270.0,54521731713.5416,63695789420.42531,,,0.8637835811809134,34516986.28041458,9503869.064338658,56330336116.03099,57162298921.55033,,,0.8677745049517851
2227,2,0.826185516011995,33833044.0,21424080.0,59841398378.04738,61422057874.62077,,,0.8637066213956802,32355477.04962098,19897737.45099844,59739123391.61839,54300666357.429146,,,0.8668529073772513
2228,3,0.79218944557137,35126712.0,497182.9375,52842846205.00889,47659220916.583694,,,0.8637811406786903,34424864.79844899,2279803.0472668083,54673623768.05502,37929776679.215096,,,0.8697348137728702
2229,3,0.808506154769977,34071712.0,1292434.75,56352169873.14496,46762176002.43887,,,0.863898601472702,32560239.318349022,2612768.8576917676,56369449855.23195,37095050551.371994,,,0.8689201310779053
2230,3,0.7180380839623155,35068944.0,136616.5,44189833677.32175,42681928104.26561,,,0.8638772702346779,34393894.360480875,1555297.8225082043,43815933613.359055,32230693272.676933,,,0.8706864298773105
2231,3,0.7756567679565413,33796112.0,380355.59375,48818045873.261795,43142247606.06111,,,0.863957581125495,32518277.560332544,1689533.030933828,47563083621.60445,32006154853.9089,,,0.8703353854225752
2232,3,0.7636843955107412,35144096.0,0.4389614462852478,46858591144.635765,49422345544.33931,,,0.8637764058839282,34460722.56779532,1597963.868187813,47966305642.6691,40565779177.021454,,,0.8708990221835693
2233,4,0.7922517653272851,33786748.0,17609.2578125,50381326881.012695,49791439110.255165,,,0.8639037367810365,32626813.362007525,1297685.5568792429,50306295989.833305,39773569086.92285,,,0.8704444230243693
2234,4,0.7629961505238916,35113804.0,29510.01171875,47262141564.89839,52786929040.398315,,,0.8638454493664918,34393261.04940295,1488170.6451516342,48316341044.6584,43665732417.05196,,,0.8697257028068506
2235,4,0.7982368243027373,33810092.0,296758.71875,51874141454.91086,53450288896.15243,,,0.8638836074542332,32482802.223189007,1591017.574448435,51827472102.97664,43264193072.65211,,,0.8689708734397468
2236,3,0.7756590273492405,35131584.0,778286.9375,48950001560.625824,58743268343.789894,,,0.8638362229194582,34336187.28642011,2167548.871821163,49366332866.830055,48556586326.97181,,,0.8641601487886198
2238,2,0.8107720301467538,35352656.0,14968436.0,54481461900.19701,89764622634.17825,,,0.863849104191781,34491471.99740371,14564976.794412505,55780734912.68391,84775258911.06973,,,0.8648269993112964
2239,2,0.8153648436198618,33879256.0,24882876.0,59770361914.96828,81765655869.77571,,,0.863740154125937,32365891.73441217,22879505.811250694,59594940101.06291,75677653045.18544,,,0.8641995346274438
2240,2,0.7692520424589375,35126292.0,1347319.5,54298125576.92201,50662494866.010895,,,0.8637835811809134,34430599.3523487,3405670.57791706,56596469279.62239,41474358095.864815,,,0.869524011261954
2241,3,0.8080971370709018,33690556.0,3193638.25,59518846462.009186,50463621464.10949,,,0.8637066213956802,32282043.926739115,4652237.2790062865,59706763823.29759,40588312106.00257,,,0.8684864458251003
2242,2,0.7957440645259973,35571632.0,0.003330003237351775,54549994733.067566,52886459689.569824,,,0.8637837997312775,34638757.29730893,1784840.1217100536,57005282793.34434,47154188304.07113,,,0.8704829866816958
2243,2,0.8151445972243949,34277680.0,0.004640006460249424,60299862974.38825,53238285279.01051,,,0.863701425463818,32818239.464247677,1802152.1777153811,60400888444.36987,45678626372.70765,,,0.8694773655912139
2244,2,0.7915406607459765,35570372.0,150806.78125,54512619071.30912,57441958720.91979,,,0.8637954664952827,34644893.81606679,1847633.5010163747,56892011316.66607,51064973765.088356,,,0.8687480894273609
2245,2,0.8105154460628275,34278188.0,151419.546875,60207927275.89134,57561381450.518234,,,0.8637652975140195,32818238.459096614,1743170.477491843,60296374608.5238,49627381774.60806,,,0.8677416831316015
2246,2,0.7735324918529801,35126292.0,1656954.75,54327390599.775894,48835593873.010635,,,0.8637835811809134,34432919.61709238,3078275.36957768,56591401473.19747,39430323203.12256,,,0.8695239827699944
2247,2,0.8128769230563291,33805632.0,3099224.75,59768137912.722336,50103695088.16652,,,0.8637066213956802,32502591.762056097,4086172.1147519075,59892472004.17039,40478328554.525085,,,0.8684864458251003
2248,3,0.7411384495328512,35066840.0,135719.5625,45090200676.67611,42909164924.47296,,,0.863778578975725,34394692.485739276,1537927.807467862,44957688389.522125,32808815672.17204,,,0.8702240180808868
2249,4,0.7836930236459274,33799912.0,390395.84375,49753462280.40088,50647390563.63591,,,0.863904465143312,32517599.35196231,1661878.7093549988,48974019144.82116,39899191016.65646,,,0.8697744244435927
