run,n_acciones,kge_mediano,weap_J1_gw_storage,weap_J2_unmet_ap,weap_J3_agri_value,weap_J4_supply_cost,weap_J51_mean_town_fail,weap_J52_worst_year_frac,weap_J6_coastal_salinity,mlp_J1_gw_storage,mlp_J2_unmet_ap,mlp_J3_agri_value,mlp_J4_supply_cost,mlp_J51_mean_town_fail,mlp_J52_worst_year_frac,mlp_J6_coastal_salinity
211,1,0.8774869754279021,38264312.0,61398040.0,56175934564.66455,89344518058.87383,,,0.8637718534691906,38055546.949946344,58521863.7507399,56040670780.72119,87554962360.88362,,,0.8702030623461722
213,1,0.8579772947533439,38072260.0,8466981.0,36260547140.0183,61761662001.14804,,,0.8628066001053271,38148301.746223666,8950383.913930967,38032541277.96008,58653878884.52011,,,0.8647830768416886
218,1,0.8650890842476273,36233780.0,62737008.0,56085953984.171234,106305402850.26283,,,0.8650716541345117,35978560.41285498,60095223.33101447,54984003690.56758,112092300082.36044,,,0.8717191811536232
221,1,0.8202252054226413,34324116.0,17370422.0,51858652371.96599,97531018543.39655,,,0.8645974527798425,34496139.420482844,16487581.664223973,51152369783.35688,105173595988.41336,,,0.8654231441883189
223,1,0.8697582648479443,38463300.0,26144802.0,56019757617.88865,90287195594.47269,,,0.8634514013926188,38334911.55864397,25957072.043468326,56780947368.08737,84565714368.89606,,,0.8617489786508549
225,1,0.8510617964318363,37899352.0,15117721.0,61289807560.639465,87761074087.28976,,,0.8653190436063113,37897086.230159596,15095041.946392855,59677451680.99917,82643424169.29385,,,0.8613346830228319
231,1,0.7960227677547251,34188936.0,78629832.0,49764770871.96944,117872771032.60373,,,0.8656454087229969,34481399.404959686,74485777.6485863,48851362439.42675,139408482753.64722,,,0.8731429003262982
234,1,0.8427130979594782,36370144.0,13239316.0,35662004752.815575,90724463314.3691,,,0.8662733711192286,36108081.805395894,13073221.864265148,37657379423.22446,90410272067.08351,,,0.8689478490549841
236,1,0.8743371275227984,38273180.0,79858048.0,56173948570.69969,107947285111.66145,,,0.8638296550155704,38057790.1651199,77170420.11334126,55969995270.95209,105713186788.33904,,,0.8702366246533043
243,1,0.8721757675836177,36757772.0,33231488.0,53809923469.29845,102596631928.35374,,,0.864754322386566,36714472.68819997,31993892.492433347,53672358690.23246,100365593851.39017,,,0.8663669131733995
246,1,0.8507563602275483,36253240.0,8267666.5,52182708057.28103,66909541052.89811,,,0.8661119736435808,36028336.17756213,8821964.705158716,53848071926.8016,64265534175.765945,,,0.8693131015597938
249,1,0.8591617204068183,38463300.0,18392714.0,56020794462.31452,68263387612.45016,,,0.8590828840271298,38334911.55864397,18898322.196021434,57640386191.09225,65810923592.85395,,,0.8626043946740882
260,1,0.821294242811196,38698488.0,11556933.0,36415342646.11128,77385037770.62628,,,0.8625492302595226,38626712.66800597,12041360.62972387,38062203386.10958,77544395302.31718,,,0.8668435965329041
262,1,0.852066388668957,38659740.0,27327554.0,36338076000.24643,94700061968.39095,,,0.8619613324660336,38608096.31216078,26975609.731033456,38034072121.617004,90936667549.18297,,,0.8643245200866204
264,1,0.8515950948539062,37906336.0,66093936.0,61381444968.66216,106131312966.19948,,,0.8664233442323562,37803133.56472176,64980202.238491476,59433828713.79019,107647378799.1848,,,0.870615328007041
272,1,0.8677118868502302,36377364.0,74917816.0,35666452565.44285,116698644658.70506,,,0.8661080396444,36097924.917847306,72870582.039244,37293194930.01897,120275216423.39938,,,0.8714921596840043
278,1,0.844673495842537,39585720.0,13574728.0,36355268469.15373,84682073119.35777,,,0.8577833752717356,39689575.52130492,13773365.55552354,37903525037.19551,82743251262.3625,,,0.8630119595493101
289,1,0.8023770999680544,38072788.0,82658696.0,36136019731.10271,110069170935.61192,,,0.8662823546090233,38075679.32813442,79067361.17727971,37435781975.52339,101549264626.32713,,,0.8709266481138745
