WellName,TOP,WellDepth_m,z_bot
DemAGRO_SHAC_Q01_fict__p_18_338_id352,497.31,8.0,489.30999755859375
DemAGRO_SHAC_Q01_fict__p_18_338_id385,497.31,8.0,489.30999755859375
DemAGRO_SHAC_Q01_fict__p_19_331_id371,477.41,8.0,469.4100036621094
DemAGRO_SHAC_Q01_fict__p_19_342_id337,512.72,5.45,507.269970703125
DemAGRO_SHAC_Q01_fict__p_19_343_id386,520.94,8.0,512.9400024414062
DemAGRO_SHAC_Q01_fict__p_20_290_id363,382.35,3.5,378.8500061035156
DemAGRO_SHAC_Q01_fict__p_20_335_id297,486.62,8.0,478.6199951171875
DemAGRO_SHAC_Q01_fict__p_20_338_id342,498.18,9.0,489.17999267578125
DemAGRO_SHAC_Q01_fict__p_20_338_id343,498.18,4.0,494.17999267578125
DemAGRO_SHAC_Q01_fict__p_20_341_id336,506.22,6.5,499.7200012207031
DemAGRO_SHAC_Q01_fict__p_21_336_id373,492.67,8.0,484.6700134277344
DemAGRO_SHAC_Q01_fict__p_22_299_id347,402.21,8.0,394.2099914550781
DemAGRO_SHAC_Q01_fict__p_22_329_id370,470.08,8.0,462.0799865722656
DemAGRO_SHAC_Q01_fict__p_22_332_id327,481.57,8.0,473.57000732421875
DemAGRO_SHAC_Q01_fict__p_23_332_id288,485.43,40.0,445.42999267578125
DemAGRO_SHAC_Q01_fict__p_23_336_id296,494.47,8.0,486.4700012207031
DemAGRO_SHAC_Q01_fict__p_24_328_id372,480.55,8.0,472.54998779296875
DemAGRO_SHAC_Q01_fict__p_24_331_id330,485.23,8.0,477.2300109863281
DemAGRO_SHAC_Q01_fict__p_24_334_id338,495.67,6.0,489.6700134277344
DemAGRO_SHAC_Q01_fict__p_25_311_id286,445.11,8.0,437.1099853515625
DemAGRO_SHAC_Q01_fict__p_25_311_id287,445.11,8.0,437.1099853515625
DemAGRO_SHAC_Q01_fict__p_25_311_id290,445.11,8.0,437.1099853515625
DemAGRO_SHAC_Q01_fict__p_25_331_id333,492.18,9.0,483.17999267578125
DemAGRO_SHAC_Q01_fict__p_25_336_id339,503.45,11.0,492.45001220703125
DemAGRO_SHAC_Q01_fict__p_26_313_id289,447.12,8.0,439.1199951171875
DemAGRO_SHAC_Q01_fict__p_26_331_id332,506.46,10.0,496.4599914550781
DemAGRO_SHAC_Q01_fict__p_27_313_id285,454.95,8.0,446.95001220703125
DemAGRO_SHAC_Q01_fict__p_5_276_id270,375.44,8.0,367.44000244140625
DemAGRO_SHAC_Q02_fict__p_15_262_id267,332.39,6.0,326.3900146484375
DemAGRO_SHAC_Q02_fict__p_16_260_id268,339.63,6.0,333.6300048828125
DemAGRO_SHAC_Q02_fict__p_34_230_id257,230.02,5.0,225.02000427246094
DemAGRO_SHAC_Q02_fict__p_35_215_id255,203.48,6.0,197.47999572753906
DemAGRO_SHAC_Q02_fict__p_35_219_id258,207.52,5.5,202.02000427246094
DemAGRO_SHAC_Q02_fict__p_35_232_id256,237.23,5.0,232.22999572753906
DemAGRO_SHAC_Q02_fict__p_35_236_id253,250.19,6.0,244.19000244140625
DemAGRO_SHAC_Q02_fict__p_36_208_id254,190.76,6.0,184.75999450683594
DemAGRO_SHAC_Q02_fict__p_36_211_id259,196.62,6.0,190.6199951171875
DemAGRO_SHAC_Q03_fict__p_34_202_id206,194.53,4.0,190.52999877929688
DemAGRO_SHAC_Q03_fict__p_37_203_id218,186.58,5.0,181.5800018310547
DemAGRO_SHAC_Q03_fict__p_37_203_id220,186.58,5.0,181.5800018310547
DemAGRO_SHAC_Q03_fict__p_37_207_id219,197.69,3.0,194.69000244140625
DemAGRO_SHAC_Q04_fict__p_37_201_id216,181.08,8.0,173.0800018310547
DemAGRO_SHAC_Q04_fict__p_38_202_id215,184.25,8.0,176.25
DemAGRO_SHAC_Q04_fict__p_39_201_id217,182.29,8.0,174.2899932861328
DemAGRO_SHAC_Q04_fict__p_43_196_id208,172.85,8.0,164.85000610351562
DemAGRO_SHAC_Q04_fict__p_44_196_id210,168.49,8.0,160.49000549316406
DemAGRO_SHAC_Q04_fict__p_44_197_id207,170.44,8.0,162.44000244140625
DemAGRO_SHAC_Q04_fict__p_44_197_id209,170.44,8.0,162.44000244140625
DemAGRO_SHAC_Q04_fict__p_46_194_id214,167.71,9.0,158.7100067138672
DemAGRO_SHAC_Q04_fict__p_47_193_id211,168.51,6.0,162.50999450683594
DemAGRO_SHAC_Q05_fict__p_51_195_id230,167.68,20.0,147.67999267578125
